city,date,fare,ride_id
Lake Jonathanshire,2018-01-14 10:14:22,13.83,5739410935873
South Michelleport,2018-03-04 18:24:09,30.24,2343912425577
Port Samanthamouth,2018-02-24 04:29:00,33.44,2005065760003
Rodneyfort,2018-02-10 23:22:03,23.44,5149245426178
South Jack,2018-03-06 04:28:35,34.58,3908451377344
South Latoya,2018-03-11 12:26:48,9.52,1994999424437
New Paulville,2018-02-27 11:17:56,43.25,0793208410091
Simpsonburgh,2018-04-26 00:43:24,35.98,0111953927754
South Karenland,2018-01-08 03:28:48,35.09,7995623208694
North Jasmine,2018-03-09 06:26:29,42.81,5327642267789
New Kimberlyborough,2018-02-07 01:10:11,9.34,7992781920789
West Angela,2018-01-12 01:45:27,26.86,4820052223501
Rodneyfort,2018-03-02 18:03:20,44.26,2494064867705
West Angela,2018-01-10 12:17:31,12.74,2108723916092
Roberthaven,2018-05-04 14:48:56,25.66,1026197778354
North Jason,2018-03-28 22:28:44,9.19,7007022521141
Williamsview,2018-01-03 16:19:25,18.93,1979492913169
Leahton,2018-02-26 18:42:15,8.85,6966668662612
West Anthony,2018-03-06 02:27:01,10.02,9396763280782
New Kimberlyborough,2018-04-25 22:58:38,29.67,4823568522144
Roberthaven,2018-02-24 10:26:34,7.8,2180566685151
New Paulton,2018-05-01 03:12:49,8.28,8527101897862
West Patrickchester,2018-03-19 05:46:20,40.86,0898889456779
Deanville,2018-04-25 03:29:09,41.52,6055928921559
West Josephberg,2018-02-19 16:22:09,36.39,3322126516683
West Samuelburgh,2018-05-03 14:33:41,41.12,7330842806458
West Heidi,2018-03-14 23:46:50,24.4,4908573010166
Loganberg,2018-04-01 01:06:03,8.23,0678728883160
Huntermouth,2018-02-10 23:32:13,25.79,1880379662035
South Latoya,2018-01-11 18:44:14,27.41,8662301917375
New Paulville,2018-03-18 22:54:11,25.05,5031803855561
Grahamburgh,2018-01-15 11:44:20,40.69,0307021255892
Port Frank,2018-02-02 14:14:37,41.47,6746609056348
East Kaylahaven,2018-02-28 04:13:57,25.96,3662521920044
Rodneyfort,2018-02-03 00:48:41,44.86,2325699544245
South Karenland,2018-02-12 06:52:03,36.01,4015929454731
West Robert,2018-02-15 04:21:47,12.28,1442502460354
North Markport,2018-02-18 08:17:35,38.09,0925012921771
Williamsview,2018-03-12 06:47:43,8.35,1940440908308
Richardfort,2018-02-24 08:40:38,13.93,5628545007794
New Kimberlyborough,2018-03-14 16:47:25,27.9,6750798028086
Reynoldsfurt,2018-03-25 14:33:27,34.06,6604420154219
South Karenland,2018-05-08 02:31:25,41.33,5688921852912
Rodneyfort,2018-04-25 20:57:43,21.7,8534600667414
Justinberg,2018-04-23 08:59:48,14.65,9878231118211
West Josephberg,2018-03-05 03:27:34,12.91,0102684585771
South Karenland,2018-03-03 14:48:30,37.3,4104001937078
Leahton,2018-05-05 10:34:50,17.05,5846586406028
